train_acc,test_acc,train_loss,test_loss
0.5119687347337567,0.518796992481203,0.7067237067967653,0.6912723577628701
0.495847581827064,0.5193340494092373,0.7113208035007119,0.689855055283692
0.512457254518808,0.5021482277121375,0.707526289857924,0.6835091972755174
0.5608207132388862,0.6374865735767992,0.6784541057422757,0.6758853176892814
0.5686370297997069,0.6992481203007519,0.6754017267376184,0.6584855580733995
0.6033219345383488,0.6868958109559613,0.6665899194777012,0.6670193369105711
0.6013678553981436,0.6842105263157895,0.6624553026631474,0.6554488852872686
0.6223742061553493,0.7013963480128894,0.6528373882174492,0.6549569388567391
0.6492427943331704,0.6836734693877551,0.6484883027151227,0.6112193364208027
0.6819736199316072,0.6874328678839957,0.6255385596305132,0.6155338156021247
0.7151929653150952,0.7148227712137487,0.6023615058511496,0.6151472193709875
0.7186126038104543,0.715359828141783,0.5959969721734524,0.6179788547047114
0.7274059599413776,0.7142857142857143,0.5882743513211608,0.6094149406683647
0.73961895456766,0.715359828141783,0.579296849668026,0.6171420176150435
0.747923790913532,0.7325456498388829,0.5648026019334793,0.6168388719275847
0.7464582315583781,0.7234156820622986,0.5616058488376439,0.5838031536441738
0.764533463605276,0.7228786251342643,0.5558511996641755,0.5717500508841822
0.7738153395212506,0.7255639097744361,0.5393082052469254,0.5664270217135802
0.7630679042501222,0.7261009667024705,0.5356740653514862,0.5611582555003085
0.7830972154372252,0.7218045112781954,0.5185873014852405,0.5603944815821567
0.7747923790913532,0.7185821697099892,0.5165016590617597,0.5635310275069738
0.794333170493405,0.7330827067669173,0.5011253068223596,0.5481161621667571
0.7953102100635075,0.7250268528464017,0.49563005520030856,0.5622181781267716
0.7865168539325843,0.734156820622986,0.4998219828121364,0.5925978417113676
0.8011724474841231,0.7056928034371643,0.48450780659914017,0.5869873787386942
