train_acc,test_acc,train_loss,test_loss
0.898876404494382,0.9382384532760473,0.24150829017162323,0.16277206682910522
0.9482169027845627,0.9500537056928035,0.1353372277226299,0.13379601971246302
0.95847581827064,0.9554242749731472,0.11928856116719544,0.12548524203399816
0.9638495359062041,0.9484425349087003,0.0902075421763584,0.12729241328779609
0.9741084513922814,0.9527389903329753,0.07372823113109916,0.11851818144011
0.9726428920371275,0.9484425349087003,0.07838357915170491,0.13192807498077552
0.9789936492427943,0.9516648764769066,0.06380722904577851,0.13189349790724617
0.9741084513922814,0.9500537056928035,0.06387617607833818,0.13176393057995786
0.9741084513922814,0.9473684210526315,0.06893297453643754,0.1295830430307736
0.979970688812897,0.9479054779806659,0.049960905220359564,0.1349253923195647
0.9824132877381534,0.9543501611170784,0.047488766635069624,0.12182418054047352
0.9838788470933073,0.9516648764769066,0.048947469622362405,0.12400418506391968
0.9809477283829995,0.9500537056928035,0.047571137780323625,0.1291780868448162
0.9858329262335125,0.9527389903329753,0.039062589523382485,0.12463597445554721
0.9897410845139228,0.9527389903329753,0.03768223966471851,0.12732620480722592
0.9853444064484611,0.9532760472610097,0.043137105109053664,0.1373292969268126
0.9858329262335125,0.9511278195488722,0.035205912427045405,0.1399338636547327
0.9819247679531021,0.9462943071965628,0.04892224809009349,0.15008342956425622
0.9853444064484611,0.9441460794844253,0.045849571673898026,0.1615541134068432
0.9833903273082559,0.9484425349087003,0.045951845531817526,0.13946522270562128
